eval/mean_reward,step
0.2622723559465847,2000
0.26247349053528657,4000
0.2254744719614991,6000
0.2702673903881376,8000
0.2731934646040626,10000
0.2751588464355566,12000
0.28342512642987683,14000
0.34315786425447825,16000
0.3193906698631967,18000
0.3222708040738928,20000
0.4092042173428311,22000
0.4022435895580886,24000
0.4408385630956666,26000
0.4315745742642052,28000
0.42518356897566467,30000
0.5399167146663006,32000
0.5140697556073014,34000
0.5548033157860216,36000
0.5596137177096511,38000
0.5522495684150222,40000
0.5296748892598663,42000
0.6039769970350357,44000
0.6250419562323009,46000
0.5823198190323896,48000
0.6604687756564235,50000
0.6394958424389847,52000
0.7230182618299714,54000
0.701938465856164,56000
0.7312501369702694,58000
0.7109751189775557,60000
0.7393520300652616,62000
0.747128268739047,64000
0.7328796382386519,66000
0.7731228140409706,68000
0.7363991628296783,70000
0.7228979509423106,72000
0.7870009429822179,74000
